Date,MSCI Europe Growth
03/2002,188443.6285381696
04/2002,180388.5173920266
05/2002,169887.1099347362
06/2002,157004.5531962629
07/2002,141172.18163231394
08/2002,139446.57437000045
09/2002,125407.43889620385
10/2002,136639.4781813948
11/2002,138843.4085970206
12/2002,128496.86215359921
01/2003,118135.54705221733
02/2003,114959.43359702491
03/2003,112979.84703389194
04/2003,123923.43022412434
05/2003,122734.42499661297
06/2003,127259.94083453309
07/2003,128817.05993375609
08/2003,132198.47499529854
09/2003,127837.08118026482
10/2003,135873.78966929406
11/2003,137675.55710048243
12/2003,140161.53305678227
01/2004,145529.35536682635
02/2004,149259.22167906037
03/2004,146400.4969184448
