Date,STOXX Europe 600 Industrial Goods & Services
09/2021,198415.27912453248
10/2021,202849.41127579997
11/2021,198787.92076464885
12/2021,212921.45726554925
01/2022,193514.33716581244
02/2022,185873.38966615876
03/2022,185701.62072309185
04/2022,179217.34312231612
05/2022,175718.2435240338
06/2022,157172.7386064552
07/2022,179650.92118021887
08/2022,164856.62834187562
09/2022,153151.406011913
10/2022,169405.734866325
11/2022,179276.9081590248
12/2022,173075.21817426238
01/2023,187096.55076880456
02/2023,193319.01925474443
03/2023,195258.34603130628
04/2023,197534.2845269428
05/2023,196491.2037678349
06/2023,203458.92782933926
07/2023,207149.1896384541
08/2023,196316.66435794433
09/2023,190044.32746917856
10/2023,178401.44064274835
11/2023,199451.44756891538
12/2023,214320.54301149744
01/2024,215743.17772544673
02/2024,230283.97284942513
03/2024,238402.82587616015
04/2024,232795.40102507273
05/2024,244328.85441196844
06/2024,236090.87131181604
07/2024,242040.44881562545
08/2024,244384.26374844162
09/2024,248472.08754675163
