Date,MSCI Japan
07/2002,70331.47243105284
08/2002,69230.82400461096
09/2002,65955.57271029543
10/2002,61339.99998575428
11/2002,63415.576394463984
12/2002,58485.89672489357
01/2003,54408.334787293585
02/2003,54899.074539663125
03/2003,51871.129623954315
04/2003,50374.56352799636
05/2003,49730.00144761754
06/2003,55242.401430360915
07/2003,58037.98749295721
08/2003,66449.3724858979
09/2003,66009.71267313843
10/2003,69209.04829094114
11/2003,64992.195711763445
12/2003,65998.75213901335
01/2004,68527.56343997526
02/2004,68139.22968920875
03/2004,78515.0543551666
04/2004,75979.93924474949
05/2004,71803.5255502473
06/2004,75938.20039213762
07/2004,72124.87582801047
08/2004,72215.43225079165
09/2004,68827.8348004338
10/2004,68806.39456475643
11/2004,69099.86671634145
12/2004,70905.36008083861
01/2005,72372.36185012512
02/2005,72626.59205425544
03/2005,72731.28251017033
04/2005,70898.24990233051
05/2005,73818.7696884076
06/2005,75203.02176303673
07/2005,75945.85615645423
08/2005,80530.71654154954
09/2005,90002.25325631682
10/2005,89063.3811814261
11/2005,94869.28492192521
12/2005,102760.75287356935
01/2006,105082.7050385722
02/2006,106323.49588039091
03/2006,106942.8586019133
04/2006,106252.60320592432
05/2006,97081.3865076147
06/2006,97175.43986611371
07/2006,96228.86413705087
08/2006,97034.53049005217
09/2006,96883.43846372896
10/2006,98290.37066166475
11/2006,95207.59801491619
12/2006,97795.64257155269
01/2007,100267.3779762333
02/2007,102271.7908533829
03/2007,100109.13130969585
04/2007,96089.97408212634
05/2007,98761.4718764764
06/2007,98086.26401480238
07/2007,96483.51899366126
08/2007,93662.86515135407
09/2007,92620.22970575548
10/2007,90555.160398225
11/2007,87004.36998629462
12/2007,83787.69971875414
01/2008,79157.14389750286
02/2008,78141.6629525398
03/2008,71913.90554607363
04/2008,78489.04467680832
05/2008,80630.62015245373
06/2008,73913.85548183344
07/2008,72094.51530865351
08/2008,73342.01610798069
09/2008,67087.238647904
10/2008,64098.579719861154
11/2008,63449.2067400128
12/2008,62739.098519874344
01/2009,63498.332906597665
02/2009,56392.697451281994
03/2009,54703.96462379191
04/2009,60118.70990667816
05/2009,62440.73574038995
06/2009,63376.97717185951
07/2009,66068.78422633573
08/2009,68023.88815992113
09/2009,65158.57334488031
10/2009,62850.61519832512
11/2009,61282.80627402399
12/2009,64400.37818526814
01/2010,67690.27964442315
02/2010,70445.2730807935
03/2010,74462.75508881213
04/2010,75262.05046453819
05/2010,74841.60811180876
06/2010,73555.06941113122
07/2010,71747.41630754713
08/2010,72032.57599210745
09/2010,69986.8493353102
10/2010,70337.48034362946
11/2010,76562.07493173424
