Date,MSCI France
07/2014,296447.3675308068
08/2014,304085.62271461525
09/2014,307319.980709902
10/2014,295166.4643478498
11/2014,306434.3019411672
12/2014,299214.83315970405
01/2015,323654.95217736287
02/2015,346802.7018410539
03/2015,353515.9846715405
04/2015,356302.32553015865
05/2015,357228.94301655877
06/2015,340969.53465990047
07/2015,365107.65374173387
08/2015,331943.2156377835
09/2015,318580.79355869605
10/2015,351119.4961663869
11/2015,354846.40168969106
12/2015,333306.4480183656
01/2016,317175.25470956304
02/2016,314673.9520557468
03/2016,319119.8638622564
04/2016,324404.67286596866
05/2016,331069.6795214707
06/2016,313148.5619319732
07/2016,330208.4844214169
08/2016,327969.1473828661
09/2016,331297.49928580463
10/2016,335591.7335797063
11/2016,339188.9523583291
12/2016,361059.4203264483
01/2017,355996.54599554103
02/2017,362603.0777596363
03/2017,381913.6025928081
04/2017,393530.630922828
05/2017,402243.2255977067
06/2017,390380.89278587484
07/2017,390589.26813541015
08/2017,391440.95170387265
09/2017,408904.4249044596
10/2017,420966.7023818478
11/2017,414469.26381031115
12/2017,408579.84275761916
01/2018,420963.26658372406
02/2018,408497.39408530993
03/2018,399038.4404644458
04/2018,426287.4698063785
05/2018,422509.80216529086
06/2018,419791.2541129494
07/2018,432141.814624967
08/2018,426682.43293374433
09/2018,434706.8195210826
10/2018,402910.7142801301
11/2018,394348.06913925824
12/2018,373348.3779776421
01/2019,393872.93510969577
02/2019,412772.1805737121
03/2019,421230.3063553985
04/2019,441325.34845994605
05/2019,416785.0470901421
06/2019,442850.8835113425
07/2019,441086.69263799937
08/2019,438093.0444659147
09/2019,454869.6547868482
10/2019,460101.9683973784
11/2019,475306.04141105316
12/2019,478398.31159353914
01/2020,469757.34319884406
02/2020,430999.2921129202
03/2020,355375.6610468051
04/2020,373735.99287600996
05/2020,383027.3846705588
06/2020,403842.106669151
07/2020,392209.8636920893
08/2020,407767.5750478773
09/2020,396905.6582929392
10/2020,378213.40134728735
11/2020,453978.7670341751
12/2020,455798.22907265497
01/2021,446634.4294034202
02/2021,469464.66177001636
03/2021,498123.8306115421
04/2021,513175.10351938644
05/2021,532149.7555734649
06/2021,536017.0548374963
07/2021,544776.0333092706
08/2021,550940.4549082096
09/2021,538954.2756699114
10/2021,559775.997842389
11/2021,549409.8134125381
12/2021,590195.447511815
01/2022,576359.9735272445
02/2022,548539.8017210263
03/2022,549844.251367011
04/2022,542011.423436287
05/2022,542012.1752640525
06/2022,500927.0723967468
07/2022,542932.5226651406
08/2022,518543.2482887576
09/2022,486372.9658296276
10/2022,523520.89245012205
11/2022,559279.3817338358
12/2022,543143.5726815967
01/2023,594925.8579888591
02/2023,606235.3525084681
03/2023,610593.6279260952
04/2023,632825.7220713272
05/2023,601922.2670427148
06/2023,630825.6958788343
07/2023,635389.1674966255
08/2023,619470.4029914284
09/2023,601855.4367136235
10/2023,577684.8446923917
11/2023,614838.6017245388
12/2023,636487.9242827436
01/2024,649334.4000232095
02/2024,667177.8599609238
03/2024,688834.391573312
04/2024,675012.6996855031
05/2024,686444.0025528348
06/2024,643616.7138502573
07/2024,651410.8745364596
08/2024,660304.4564533345
09/2024,662681.2793401756
10/2024,638312.3731006805
