Fund,ISIN,Tickers,Index
SPDR S&P 500 ETF,US78462F1030,SPY,S&P 500
iShares Core MSCI World UCITS ETF,IE00B4L5Y983,IWDA,MSCI World
Vanguard FTSE All-World UCITS ETF,IE00B3RBWM25,VT,FTSE All-World
iShares MSCI Emerging Markets UCITS ETF,IE00BKM4GZ66,IEMG,MSCI Emerging Markets
Nasdaq 100,US46090E1038,QQQ,Nasdaq-100
Vanguard FTSE Europe ETF,US9220428742,VGK,MSCI Europe
iShares Russell 2000 ETF,US4642876555,IWM,Russell 2000
iShares MSCI China UCITS ETF,IE00B44T3H88,MCHI,MSCI China
iShares MSCI Japan ETF,US46434G8226,IJP,MSCI Japan
iShares AEX UCITS ETF,IE00B0M62Y33,IAEX,AEX
iShares AEX UCITS ETF EUR (Acc),IE00BMTX2B82,IAEA,AEX
VanEck AEX UCITS ETF,NL0009272749,TDT,AEX
Amundi BEL 20 UCITS ETF Dist,FR0000021842,BEL,BEL 20
WisdomTree Physical Gold,DE000A0N62G0,VZLD,Gold spot price
Bitcoin,BTC,BTC,Bitcoin
21Shares Bitcoin ETP,CH0454664001,"21XB
ABTC",Bitcoin
BTCetc - ETC Group Physical Bitcoin,DE000A27Z304,BTCE,Bitcoin
VanEck Vectors Bitcoin ETN,DE000A28M8D0,VBTC,Bitcoin
Iconic Funds Physical Bitcoin ETP,DE000A3GK2N1,XBTI,Bitcoin
WisdomTree Bitcoin,GB00BJYDH287,"BTCW
WBIT
WBTC",Bitcoin
CoinShares Physical Bitcoin,GB00BLD4ZL17,BITC,Bitcoin
Vanguard SRI Euro Investment Grade Bond Index Fund,IE00BYSX5D68,,Bloomberg Barclays EUR Non-Government Float Adjusted Bond
iShares Euro Corporate Bond 1-5yr UCITS ETF,IE00B4L60045,"EUNT
IE15
SE15",Bloomberg Barclays Euro Corporate Bond 1-5Y
iShares Euro Government Bond 7-10yr UCITS ETF EUR (Dist),IE00B1FZS806,"IBCM
IBGM
IEGM",Bloomberg Barclays Euro Government Bond 10 Year Term
iShares Euro Government Bond 7-10yr UCITS ETF (Acc),IE00B3VTN290,"CBE0
CE01
CSBGE0
SXRQ",Bloomberg Barclays Euro Government Bond 10 Year Term
iShares Euro Government Bond 15-30yr UCITS ETF,IE00B1FZS913,"IBCL
IBGL
IEGL",Bloomberg Barclays Euro Government Bond 15-30 Year Term
iShares Euro Government Bond 3-5yr UCITS ETF,IE00B1FZS681,"IBCN
IBGX
IEGX",Bloomberg Barclays Euro Government Bond 5 Year Term
iShares Euro Inflation Linked Government Bond UCITS ETF,IE00B0M62X26,"IBC1
IBCI",Bloomberg Barclays Euro Government Inflation-Linked Bond
iShares Euro Government Inflation-Linked Bond Index Fund (IE),IE00B4WXT857,,Bloomberg Barclays Euro Government Inflation-Linked Bond
Xtrackers Eurozone Inflation-Linked Bond UCITS ETF 1C,LU0290358224,"DBXK
XEIN",Bloomberg Barclays Euro Government Inflation-Linked Bond
Amundi Euro Government Inflation-Linked Bond UCITS ETF Acc,LU1650491282,"EMI
LYQ7
MTI
MTIX",Bloomberg Barclays Euro Government Inflation-Linked Bond
Amundi Euro Government Bond 15+Y UCITS ETF Acc,LU1287023268,"EM15
LYXF
MTF",Bloomberg Barclays Euro Treasury 50bn 15+ Year Bond
Amundi Euro Government Bond 15+Y UCITS ETF Dist,LU2090062782,E15G,Bloomberg Barclays Euro Treasury 50bn 15+ Year Bond
Amundi Euro Government Bond 25+Y UCITS ETF Acc,LU1686832194,"LMTH
MTH",Bloomberg Barclays Euro Treasury 50bn 25+ Year Bond
Amundi Euro Government Bond 5-7Y UCITS ETF Acc,LU1287023003,"EM57
LYXC
MTC",Bloomberg Barclays Euro Treasury 50bn 5-7 Year Bond
Amundi Euro Government Bond 7-10Y UCITS ETF Acc,LU1287023185,"EM710
LYXD
MTD",Bloomberg Barclays Euro Treasury 50bn 7-10 Year Bond
Vanguard USD Corporate 1-3 Bond UCITS ETF Distributing,IE00BDD48R20,"VDUC
VUSC",Bloomberg Barclays Global Aggregate Corporate 1-3Y
iShares Fallen Angels High Yield Corporate Bond UCITS ETF USD (Acc),IE00BDFJYP58,WIAU,Bloomberg Barclays Global Corporate ex EM Fallen Angels 3% Issuer Capped
iShares Fallen Angels High Yield Corporate Bond UCITS ETF,IE00BYM31M36,"QDVQ
RISE
WING",Bloomberg Barclays Global Corporate ex EM Fallen Angels 3% Issuer Capped
BNP Paribas Easy EUR Corporate Bond SRI Fossil Free 1-3Y UCITS ETF,LU2008760592,"ASR3
SRIC3",Bloomberg Barclays MSCI Euro Corporate SRI Sustainable Ex Fossil Fuel Bond 1-3Y
BNP Paribas Easy € Corp Bond SRI Fossil Free 1-3Y,LU2008760758,,Bloomberg Barclays MSCI Euro Corporate SRI Sustainable Ex Fossil Fuel Bond 1-3Y
iShares Euro Corporate Bond ESG UCITS ETF (Dist),IE00BYZTVT56,"OM3F
SUOE",Bloomberg Barclays MSCI Euro Corporate Sustainable and SRI
Xtrackers II ESG EUR Corporate Bond UCITS ETF 1D,LU0484968812,XB4F,Bloomberg Barclays MSCI Euro Corporate Sustainable and SRI
iShares USD TIPS UCITS ETF USD (Acc),IE00B1FZSC47,"IDTP
ITPS
IUST
O002
TPSA",Bloomberg Barclays US Government Inflation-Linked Bond
SPDR Barclays US TIPS UCITS ETF,IE00BZ0G8977,"SYBY
TIPS
UTIP",Bloomberg Barclays US Government Inflation-Linked Bond
Amundi US TIPS Government Inflation-Linked Bond UCITS ETF Dist,LU1452600270,"TIPG
TIPU
TIUP",Bloomberg Barclays US Government Inflation-Linked Bond
Amundi ETF Barclays US Government Inflation-linked Bond UCITS ETF DR,LU1525419294,"ATIP
UIFL",Bloomberg Barclays US Government Inflation-Linked Bond
iShares Global Inflation Linked Government Bond UCITS ETF USD (Acc),IE00B3B8PX14,"IGIL
IUS5
SGIL",Bloomberg Barclays World Government Inflation-Linked Bond
Xtrackers Global Inflation-Linked Bond UCITS ETF 5C,LU0908508814,XGIU,Bloomberg Barclays World Government Inflation-Linked Bond
iShares Global Inflation Linked Government Bond EUR Hedged UCITS ETF (Dist),IE00BD8PH174,GILE,Bloomberg Barclays World Government Inflation-Linked Bond (EUR Hedged)
Xtrackers Global Inflation-Linked Bond UCITS ETF 1C EUR hedged,LU0290357929,"DBXH
XGIN",Bloomberg Barclays World Government Inflation-Linked Bond (EUR Hedged)
Xtrackers Global Inflation-Linked Bond UCITS ETF 1D EUR hedged,LU0962078753,XGII,Bloomberg Barclays World Government Inflation-Linked Bond (EUR Hedged)
HSBC China Government Local Bond UCITS ETF C,IE000N5JOGS2,"H41Q
HCGB",Bloomberg China Treasury + Policy Bank
iShares China CNY Bond UCITS ETF USD (Acc),IE00BKPSFD61,"AYER
CYBA
CYEA",Bloomberg China Treasury + Policy Bank
iShares China CNY Bond UCITS ETF USD (Dist),IE00BYPC1H27,"CNYB
ICGB",Bloomberg China Treasury + Policy Bank
Amundi China CNY Bonds UCITS ETF DR (C),LU2439735890,"CNYE
CNYF",Bloomberg China Treasury + Policy Bank
iShares Diversified Commodity Swap UCITS ETF (DE),DE000A0H0728,"CMSE
EXXY",Bloomberg Commodity
UBS ETF (IE) Bloomberg Commodity Index SF UCITS ETF (USD) A-acc,IE00B5B3W843,DCUSAS,Bloomberg Commodity
Invesco Bloomberg Commodity UCITS ETF Acc,IE00BD6FTQ80,"CMOD
CMOP",Bloomberg Commodity
iShares Diversified Commodity Swap UCITS ETF,IE00BDFL4P12,"COMM
ICOM
SXRS",Bloomberg Commodity
L&G All Commodities UCITS ETF,IE00BF0BCP69,"BCOG
BCOM
ETLF",Bloomberg Commodity
WisdomTree Broad Commodities UCITS ETF,IE00BKY4W127,"COMX
PCOM",Bloomberg Commodity
UBS ETF (IE) Bloomberg Commodity Index SF UCITS ETF (EUR) A-acc,IE00B58ZM503,DCEUAS,Bloomberg Commodity (EUR Hedged)
Invesco Bloomberg Commodity UCITS ETF EUR hedged Acc,IE00BF4J0300,CMOE,Bloomberg Commodity (EUR Hedged)
WisdomTree Broad Commodities - EUR Daily Hedged,JE00B78NNS84,00XK,Bloomberg Commodity (EUR Hedged)
L&G Longer Dated All Commodities UCITS ETF,DE000A1CXBV8,ETL2,Bloomberg Commodity Index 3 Month Forward
L&G Longer Dated All Commodities UCITS ETF,IE00B4WPHX27,"CMFP
COMF
ETL2",Bloomberg Commodity Index 3 Month Forward
Vanguard USD Emerging Markets Government Bond UCITS ETF Accumulating,IE00BGYWCB81,"VAGG
VDEA
VEMA",Bloomberg EM USD Sovereign + Quasi-Sov
Vanguard USD Emerging Markets Government Bond UCITS ETF Distributing,IE00BZ163L38,"VDET
VEMT
VGEM",Bloomberg EM USD Sovereign + Quasi-Sov
Amundi Bloomberg Equal-Weight Commodity Ex-Agriculture UCITS ETF Acc,LU1829218749,"COMG
COMO
COMU
LYTR",Bloomberg Energy and Metals Equal-Weighted
iShares EUR Aggregate Bond ESG UCITS ETF EUR (Dist),IE00B3DKXQ41,"EUN4
IEAG
SEAG",Bloomberg Euro Aggregate Bond
SPDR Bloomberg Euro Aggregate Bond UCITS ETF,IE00B41RYL63,"EAGG
EUAG
SYBA",Bloomberg Euro Aggregate Bond
iShares Core Euro Government Bond UCITS ETF (Dist),IE00B4WXJJ64,"EUNH
IEGA
SEGA",Bloomberg Euro Aggregate Treasury
Vanguard EUR Eurozone Government Bond UCITS ETF Accumulating,IE00BH04GL39,"VETA
VGEA",Bloomberg Euro Aggregate Treasury
Vanguard EUR Eurozone Government Bond UCITS ETF Distributing,IE00BZ163H91,"VETY
VGEB",Bloomberg Euro Aggregate Treasury
iShares Core Euro Corporate Bond UCITS ETF (Dist),IE00B3F81R35,"EUN5
IEAC
IEBC",Bloomberg Euro Corporate Bond
SPDR Bloomberg Euro Corporate Bond UCITS ETF,IE00B3T9LM79,"EUCO
SYBC",Bloomberg Euro Corporate Bond
iShares Core Euro Corporate Bond UCITS ETF (Acc),IE00BF11F565,"IEAA
IUSG",Bloomberg Euro Corporate Bond
Invesco Euro Corporate Bond UCITS ETF Dist,IE00BF51K249,PSFE,Bloomberg Euro Corporate Bond
Vanguard EUR Corporate Bond UCITS ETF Accumulating,IE00BGYWT403,VECA,Bloomberg Euro Corporate Bond
Vanguard EUR Corporate Bond UCITS ETF Distributing,IE00BZ163G84,VECP,Bloomberg Euro Corporate Bond
Xtrackers II EUR Corporate Bond UCITS ETF 1C,LU0478205379,"D5BG
XBEC
XBLC",Bloomberg Euro Corporate Bond
iShares Euro Government Bond 1-3yr UCITS ETF (Dist),IE00B14X4Q57,"IBCA
IBGS
IEGS",Bloomberg Euro Government Bond 1-3 Year
iShares Euro Government Bond 1-3yr UCITS ETF (Acc),IE00B3VTMJ91,"CBE3
CE31
CSBGE3
SXRN",Bloomberg Euro Government Bond 1-3 Year
iShares Euro Government Bond 3-7yr UCITS ETF (Acc),IE00B3VTML14,"CBE7
CE71
CSBGE7
SXRP",Bloomberg Euro Government Bond 3-7 Year
Vanguard Euro Government Bond Index Fund,IE00BFPM9W02,,Bloomberg Euro Government Float Adjusted Bond
Amundi Euro Government Bond 1-3Y UCITS ETF Acc,LU1650487413,"EM13
LYQ2
MTA",Bloomberg Euro Treasury 50bn 1-3 Year Bond
Amundi Euro Government Bond 1-3Y UCITS ETF Dist,LU1650487926,EGV3,Bloomberg Euro Treasury 50bn 1-3 Year Bond
Amundi Euro Government Bond 10-15Y UCITS ETF Acc,LU1650489385,"EM1015
LYQ6
MTE",Bloomberg Euro Treasury 50bn 10-15 Year Bond
Amundi Euro Government Bond 10-15Y UCITS ETF Dist,LU1650489898,NADB,Bloomberg Euro Treasury 50bn 10-15 Year Bond
SPDR Bloomberg 3-5 Year Euro Government Bond UCITS ETF,IE00BS7K8821,"EU35
SYB4",Bloomberg Euro Treasury 50bn 3-5 Year Bond
Amundi Euro Government Bond 3-5Y UCITS ETF Acc,LU1650488494,"EM35
LYQ3
MTB",Bloomberg Euro Treasury 50bn 3-5 Year Bond
Amundi Euro Government Bond 3-5Y UCITS ETF Dist,LU1650488817,EGV5,Bloomberg Euro Treasury 50bn 3-5 Year Bond
Amundi Euro Government Bond II UCITS ETF Acc,LU1650490474,"EMG
LYQ1
MTX
MTXX",Bloomberg Euro Treasury 50bn Bond
iShares Euro Government Bond 0-1yr UCITS ETF,IE00B3FH7618,"EUN6
IBGE
IEGE",Bloomberg Euro Treasury Bond 0-1 Year
iShares Core Global Aggregate Bond UCITS ETF USD (Dist),IE00B3F81409,"AGGG
EUNU
SAGG",Bloomberg Global Aggregate Bond
SPDR Bloomberg Global Aggregate Bond UCITS ETF,IE00B43QJJ40,"GLAG
GLBL
SYBZ",Bloomberg Global Aggregate Bond
AMUNDI GLOBAL AGGREGATE BOND UCITS ETF DR (C),LU1437024729,"10AU
GAGG
GAGU",Bloomberg Global Aggregate Bond
SPDR Bloomberg Global Aggregate Bond UCITS ETF EUR Hedged (Acc),IE000AQ7A2X6,SPFF,Bloomberg Global Aggregate Bond (EUR Hedged)
iShares Core Global Aggregate Bond UCITS ETF EUR Hedged (Acc),IE00BDBRDM35,"AGGH
EUNA",Bloomberg Global Aggregate Bond (EUR Hedged)
SPDR Bloomberg Global Aggregate Bond UCITS ETF EUR Hedged,IE00BF1QPL78,"GLAE
SPFE",Bloomberg Global Aggregate Bond (EUR Hedged)
Amundi Global Aggregate Bond UCITS ETF DR - EUR Hedged (C),LU1708330318,"GAGH
X8LV",Bloomberg Global Aggregate Bond (EUR Hedged)
iShares Global Corporate Bond UCITS ETF,IE00B7J7TB45,"CORP
CRPS
IS0X",Bloomberg Global Aggregate Corporate
iShares Global Corporate Bond UCITS ETF USD (Acc),IE00BFM6TB42,"CRPA
SXRB",Bloomberg Global Aggregate Corporate
iShares ESG Screened Global Corporate Bond Index Fund,IE00BJN4RG66,,Bloomberg Global Aggregate Corporate (EUR Hedged)
Vanguard Global Aggregate Bond UCITS ETF EUR Hedged Distributing,IE00B18GC888,YHD,Bloomberg Global Aggregate Float Adjusted and Scaled (EUR Hedged)
Vanguard Global Aggregate Bond UCITS ETF EUR Hedged Distributing,IE00BG47KB92,VAGE,Bloomberg Global Aggregate Float Adjusted and Scaled (EUR Hedged)
Vanguard Global Aggregate Bond UCITS ETF EUR Hedged Accumulating,IE00BG47KH54,VAGF,Bloomberg Global Aggregate Float Adjusted and Scaled (EUR Hedged)
Vanguard USD Treasury Bond UCITS ETF Accumulating,IE00BGYWFS63,"VAGT
VDTA
VUTA",Bloomberg Global Aggregate US Treasury Float Adjusted
Vanguard USD Treasury Bond UCITS ETF Distributing,IE00BZ163M45,"VDTY
VGTY
VUTY",Bloomberg Global Aggregate US Treasury Float Adjusted
Amundi Index Euro Aggregate SRI UCITS ETF DR (C),LU2182388236,"EGRI
PR10",Bloomberg MSCI Euro Aggregate Sustainable SRI Sector Neutral
iShares EUR Corporate Bond 0-3yr ESG UCITS ETF EUR (Acc),IE000AK4O3W6,IE3E,Bloomberg MSCI Euro Corporate 0-3 Sustainable SRI
iShares EUR Corporate Bond 0-3yr ESG UCITS ETF EUR (Dist),IE00BYZTVV78,"QDVL
SUSE
SUSS",Bloomberg MSCI Euro Corporate 0-3 Sustainable SRI
iShares EUR High Yield Corporate Bond ESG UCITS ETF EUR (Acc),IE00BJK55C48,"AYE2
EHYA",Bloomberg MSCI Euro Corporate High Yield Sustainable BB+ SRI Bond
iShares EUR High Yield Corporate Bond ESG UCITS ETF EUR (Dist),IE00BKLC5874,"AYE3
EHYD",Bloomberg MSCI Euro Corporate High Yield Sustainable BB+ SRI Bond
SPDR Bloomberg 10+ Year US Treasury Bond UCITS ETF,IE00BYSZ5V04,"LUTR
SPPX",Bloomberg US 10+ Year Treasury Bond
Amundi US Treasury Bond Long Dated UCITS ETF Acc,LU1407890547,"U10C
US10C",Bloomberg US 10+ Year Treasury Bond
Amundi US Treasury Bond 10+Y UCITS ETF Dist,LU1407890620,"DJAD
U10G
US10",Bloomberg US 10+ Year Treasury Bond
iShares US Aggregate Bond UCITS ETF (Dist),IE00B44CGS96,"EUNX
IUAG
SUAG",Bloomberg US Aggregate Bond
SPDR Bloomberg US Aggregate Bond UCITS ETF,IE00B459R192,"SYBU
USAG",Bloomberg US Aggregate Bond
iShares US Aggregate Bond UCITS ETF (Acc),IE00BYXYYM63,"IS03
IUAA",Bloomberg US Aggregate Bond
iShares USD Floating Rate Bond UCITS ETF USD (Acc),IE00BDFGJ627,"FLOA
QDV4",Bloomberg US Floating Rate Notes 1-5 Year
iShares USD Floating Rate Bond UCITS ETF,IE00BZ048462,"FLO5
FLOT
FLTR
QDVY",Bloomberg US Floating Rate Notes 1-5 Year
BNP Paribas Easy ESG Dividend Europe UCITS ETF,LU1615090864,EDEU,BNP Paribas Easy ESG Dividend Europe
BNP Paribas Easy ESG Low Volatility Europe UCITS ETF,LU1377381717,"EVOE
VLEU",BNP Paribas Easy ESG Low Vol Europe
BNP Paribas Easy ESG Low Volatility Europe UCITS ETF,LU1481201025,VLED,BNP Paribas Easy ESG Low Vol Europe
BNP Paribas Easy ESG Low Volatility US UCITS ETF,LU1377381980,"EVOU
VLUS",BNP Paribas Easy ESG Low Vol US
BNP Paribas Easy ESG Low Volatility US UCITS ETF,LU1481201298,VLUD,BNP Paribas Easy ESG Low Vol US
BNP Paribas Easy ESG Low Volatility US UCITS ETF USD,LU1481201371,VLUU,BNP Paribas Easy ESG Low Vol US
BNP Paribas Easy ESG Momentum Europe UCITS ETF,LU1377382012,"EMOM
MOEU",BNP Paribas Easy ESG Momentum Europe
BNP Paribas Easy ESG Momentum Europe UCITS ETF,LU1481201538,MOED,BNP Paribas Easy ESG Momentum Europe
BNP Paribas Easy ESG Quality Europe UCITS ETF,LU1377382103,"EQUA
QUEU",BNP Paribas Easy ESG Quality Europe
BNP Paribas Easy ESG Quality Europe UCITS ETF,LU1481201611,QUED,BNP Paribas Easy ESG Quality Europe
BNP Paribas Easy Equity Value US UCITS ETF,LU1615091243,EVUS,BNP Paribas Equity Value US
Amundi CAC 40 UCITS ETF Dist,FR0007052782,"CAC
CACX
LYY",CAC 40
BNP Paribas Easy CAC 40 UCITS ETF,FR0010150458,E40,CAC 40
Amundi CAC 40 UCITS ETF Acc,FR0013380607,"CACC
VOOP",CAC 40
Xtrackers CAC 40 UCITS ETF 1D,LU0322250985,"DX2G
XCAC",CAC 40
ComStage CAC 40 UCITS ETF,LU0419740799,"CD40
Z40",CAC 40
Amundi CAC 40 UCITS ETF DR EUR (C),LU1681046931,"C40
GC40",CAC 40
Amundi ETF CAC 40 UCITS ETF DR EUR (D),LU1681047079,"C4D
C4DE",CAC 40
Xtrackers CSI 300 Swap UCITS ETF 1C,LU0779800910,XCHA,CSI 300
Xtrackers Harvest CSI 300 UCITS ETF 1D,LU0875160326,"ASHR
RQFI",CSI 300
iShares Core DAX UCITS ETF (DE),DE0005933931,"DAXEX
EXS1",DAX
Lyxor 1 DAX® UCITS ETF,DE000ETF9017,E901,DAX
Deka DAX UCITS ETF,DE000ETFL011,EL4A,DAX
Deka DAX (ausschüttend) UCITS ETF,DE000ETFL060,EL4F,DAX
Amundi ETF DAX UCITS ETF DR,FR0010655712,"CG1
CG1G",DAX
Vanguard DAX UCITS ETF Distributing,IE00BG143G97,VDXX,DAX
Amundi DAX III UCITS ETF Acc,LU0252633754,"DAX
DAXX
LYDAX
LYY7",DAX
Xtrackers DAX UCITS ETF 1C,LU0274211480,"DBXD
OXDA
OXDX
XDAX",DAX
ComStage DAX UCITS ETF,LU0378438732,"C001
CBDAX",DAX
ComStage DAX FR UCITS ETF,LU0488317024,"C002
CBFDAX",DAX
Xtrackers DAX UCITS ETF Income 1D,LU0838782315,XDDX,DAX
L&G Gold Mining UCITS ETF,IE00B3CNHG25,"AUCO
AUCP
ETLX",DAXglobal Gold Miners
iShares Emerging Markets Dividend UCITS ETF,IE00B652H904,"EUNY
IEDY
SEDY",Dow Jones Emerging Markets Select Dividend
SPDR Dow Jones Global Real Estate UCITS ETF,IE00B8GF1M35,"GBRE
GLRE
SPYJ",Dow Jones Global Select Real Estate Securities
SPDR Dow Jones Global Real Estate UCITS ETF Accumulating,IE00BH4GR342,"GLRA
SPY2",Dow Jones Global Select Real Estate Securities
iShares Dow Jones Global Titans 50 UCITS ETF (DE),DE0006289382,EXI2,Dow Jones Global Titans 50
Lyxor DJ Global Titans 50 UCITS ETF Dist,FR0007075494,"L8IF
MGT",Dow Jones Global Titans 50
iShares Dow Jones Industrial Average UCITS ETF (DE),DE0006289390,EXI3,Dow Jones Industrial Average
Lyxor Dow Jones Industrial Average UCITS ETF Dist,FR0007056841,"DJAM
DJE
DJEL
DJEU",Dow Jones Industrial Average
Amundi PEA S&P US Industrials ESG UCITS ETF Acc,FR0011869270,PDJE,Dow Jones Industrial Average
iShares Dow Jones Industrial Average UCITS ETF (Acc),IE00B53L4350,"CIND
CSINDU
SXRU",Dow Jones Industrial Average
iShares Dow Jones US Select Dividend UCITS ETF (DE),DE000A0D8Q49,EXX5,Dow Jones US Select Dividend
iShares eb.rexx Government Germany UCITS ETF (DE),DE0006289465,"EXHA
RXRGEX",eb.rexx Government Germany
iShares eb.rexx Government Germany 10.5+yr UCITS ETF (DE),DE000A0D8Q31,EXX6,eb.rexx Government Germany 10.5+
Invesco Elwood Global Blockchain UCITS ETF A,IE00BGBN6P67,"BCHE
BCHN
BCHS
BNXG",Elwood Blockchain Global Equity
HANetf Future of Defence UCITS ETF,IE000OJ5TQP4,"ASWC
NATO
NATP",EQM Future of Defence
iShares EURO STOXX UCITS ETF (DE),DE000A0D8Q07,"EXSI
SXXEEX",EURO STOXX
Amundi MSCI EMU ESG CTB Net Zero Ambition UCITS ETF Acc,LU0908501058,"LGQG
MFED",EURO STOXX
Amundi MSCI EMU ESG CTB Net Zero Ambition UCITS ETF Dist,LU0908501132,MFDD,EURO STOXX
iShares EURO STOXX 50 UCITS ETF (DE),DE0005933956,"DJSXE
EXW1",EURO STOXX 50
HSBC EURO STOXX 50 UCITS ETF EUR,DE000A1C0BB7,H4ZA,EURO STOXX 50
Lyxor 1 EURO STOXX 50® UCITS ETF,DE000ETF9504,E950,EURO STOXX 50
Deka EURO STOXX 50 UCITS ETF,DE000ETFL029,EL4B,EURO STOXX 50
Deka EURO STOXX 50 (thesaurierend) UCITS ETF,DE000ETFL466,ELFA,EURO STOXX 50
Amundi EURO STOXX 50 II UCITS ETF Acc,FR0007054358,"LYSX
MSE",EURO STOXX 50
BNP Paribas Easy EURO STOXX 50 UCITS ETF,FR0012739431,ETDD,EURO STOXX 50
BNP Paribas Easy EURO STOXX 50 UCITS ETF,FR0012740983,ETBB,EURO STOXX 50
iShares Core EURO STOXX 50 UCITS ETF EUR (Dist),IE0008471009,"EUE
EUEA
EUN2
EUNE",EURO STOXX 50
HSBC EURO STOXX 50 UCITS ETF EUR,IE00B4K6B022,"50E
H4ZA
H50E",EURO STOXX 50
iShares Core EURO STOXX 50 UCITS ETF (Acc),IE00B53L3W79,"CS51
CSSX5E
CSX5
ISX5
SXRT",EURO STOXX 50
Invesco EURO STOXX 50 UCITS ETF Dist,IE00B5B5TG76,"OSX5
OSXF
S6X0
SDJE5D
SX5D",EURO STOXX 50
Invesco EURO STOXX 50 UCITS ETF,IE00B60SWX25,"SC0D
SDJE50
SX5E
SX5S",EURO STOXX 50
Vanguard EURO STOXX 50 UCITS ETF Distributing,IE00BF4R5F15,VX5E,EURO STOXX 50
UBS ETF (LU) EURO STOXX 50 UCITS ETF (EUR) A-dis,LU0136234068,"E50EUA
UB00
UB01
UIM1",EURO STOXX 50
Xtrackers EURO STOXX 50 UCITS ETF 1D,LU0274211217,"DBXE
XESX",EURO STOXX 50
ComStage EURO STOXX 50 UCITS ETF,LU0378434079,"C050
CBSX5E",EURO STOXX 50
Xtrackers EURO STOXX 50 UCITS ETF 1C,LU0380865021,"DXET
XESC",EURO STOXX 50
ComStage EURO STOXX 50 UCITS ETF,LU0488317297,"C054
CBSX5F",EURO STOXX 50
Lyxor Core EURO STOXX 50 (DR) UCITS ETF Acc,LU0908501215,MSED,EURO STOXX 50
Amundi EURO STOXX 50 UCITS ETF EUR (C),LU1681047236,"C50
V50A",EURO STOXX 50
Amundi EURO STOXX 50 UCITS ETF EUR (D),LU1681047319,"CD5
CD5E
V50D",EURO STOXX 50
Amundi EURO STOXX 50 Daily (2x) Leveraged UCITS ETF Acc,FR0010468983,"DJLEV
LVE
LYLVE
LYMZ",EURO STOXX 50 Daily Leverage
Amundi ETF Leveraged EURO STOXX 50 Daily UCITS ETF,FR0010756072,"18MD
C5L",EURO STOXX 50 Daily Leverage
Amundi Euro Stoxx Banks UCITS ETF Acc,LU1829219390,"BNKE
LYBK",EURO STOXX Banks
